Store,Dept,Date,Predicted_Weekly_Sales
1,2,2013-07-12,45971.426
1,2,2013-07-19,44888.668
1,2,2013-07-26,45402.426
1,3,2012-11-02,12059.745
1,3,2012-11-09,12559.499
1,3,2012-11-16,11737.928
1,3,2012-11-23,13388.418
1,3,2012-11-30,16629.27
1,3,2012-12-07,13383.036
1,3,2012-12-14,14420.122
1,3,2012-12-21,12475.985
1,3,2012-12-28,6623.686
1,3,2013-01-04,14122.304
1,3,2013-01-11,16201.748
1,3,2013-01-18,14149.415
1,3,2013-01-25,12952.104
1,3,2013-02-01,13690.941
1,3,2013-02-08,13349.84
1,3,2013-02-15,14183.519
1,3,2013-02-22,13616.262
1,3,2013-03-01,13499.546
1,3,2013-03-08,12762.704
1,3,2013-03-15,11798.704
1,3,2013-03-22,12017.318
1,3,2013-03-29,12406.541
1,3,2013-04-05,12476.067
1,3,2013-04-12,11591.198
1,3,2013-04-19,11143.345
1,3,2013-04-26,11478.681
1,3,2013-05-03,11962.5
1,3,2013-05-10,11236.802
1,3,2013-05-17,11721.514
1,3,2013-05-24,13196.277
1,3,2013-05-31,13188.223
1,3,2013-06-07,11303.321
1,3,2013-06-14,12047.009
1,3,2013-06-21,12017.517
1,3,2013-06-28,10504.359
1,3,2013-07-05,12908.631
1,3,2013-07-12,18639.143
1,3,2013-07-19,21155.805
1,3,2013-07-26,28013.875
1,4,2012-11-02,34163.33
1,4,2012-11-09,33634.996
1,4,2012-11-16,32287.643
1,4,2012-11-23,37204.062
1,4,2012-11-30,39589.727
1,4,2012-12-07,35067.18
1,4,2012-12-14,35752.723
1,4,2012-12-21,33605.832
1,4,2012-12-28,33216.54
1,4,2013-01-04,36114.754
1,4,2013-01-11,33369.258
1,4,2013-01-18,32619.922
1,4,2013-01-25,32709.918
1,4,2013-02-01,34203.56
1,4,2013-02-08,34651.52
1,4,2013-02-15,33427.297
1,4,2013-02-22,32860.035
1,4,2013-03-01,34094.844
1,4,2013-03-08,34033.16
1,4,2013-03-15,32494.723
1,4,2013-03-22,32713.34
1,4,2013-03-29,34064.43
1,4,2013-04-05,35088.11
1,4,2013-04-12,32287.22
1,4,2013-04-19,32141.703
1,4,2013-04-26,32174.707
1,4,2013-05-03,33005.203
1,4,2013-05-10,31409.668
1,4,2013-05-17,31412.7
1,4,2013-05-24,32893.094
1,4,2013-05-31,33807.74
1,4,2013-06-07,33284.367
1,4,2013-06-14,31743.83
1,4,2013-06-21,31714.338
1,4,2013-06-28,32435.562
1,4,2013-07-05,34607.426
1,4,2013-07-12,32145.371
1,4,2013-07-19,31312.322
1,4,2013-07-26,32092.975
1,5,2012-11-02,23876.035
1,5,2012-11-09,26501.459
1,5,2012-11-16,27681.078
1,5,2012-11-23,115318.414
1,5,2012-11-30,59862.652
1,5,2012-12-07,36841.848
1,5,2012-12-14,54520.652
1,5,2012-12-21,66684.945
1,5,2012-12-28,31831.314
1,5,2013-01-04,24934.982
1,5,2013-01-11,24433.629
1,5,2013-01-18,23597.709
1,5,2013-01-25,22805.219
1,5,2013-02-01,25888.484
1,5,2013-02-08,26663.436
1,5,2013-02-15,27562.188
1,5,2013-02-22,26572.572
1,5,2013-03-01,26076.322
1,5,2013-03-08,26397.379
1,5,2013-03-15,25765.219
1,5,2013-03-22,24919.53
1,5,2013-03-29,23873.842
1,5,2013-04-05,26046.99
1,5,2013-04-12,23024.684
1,5,2013-04-19,22879.166
1,5,2013-04-26,22616.0
1,5,2013-05-03,21982.264
1,5,2013-05-10,21236.477
1,5,2013-05-17,21738.066
1,5,2013-05-24,22805.98
1,5,2013-05-31,20365.44
1,5,2013-06-07,21480.727
1,5,2013-06-14,21656.713
1,5,2013-06-21,21627.22
1,5,2013-06-28,19938.793
1,5,2013-07-05,22563.332
1,5,2013-07-12,21113.703
1,5,2013-07-19,20738.27
1,5,2013-07-26,21072.729
1,6,2012-11-02,4905.587
1,6,2012-11-09,4102.316
1,6,2012-11-16,4806.025
1,6,2012-11-23,23380.084
1,6,2012-11-30,16935.193
1,6,2012-12-07,7249.1587
1,6,2012-12-14,13271.166
1,6,2012-12-21,7508.921
1,6,2012-12-28,4155.9204
1,6,2013-01-04,3573.3386
1,6,2013-01-11,4097.8687
1,6,2013-01-18,3313.7764
1,6,2013-01-25,3683.3347
1,6,2013-02-01,4716.635
1,6,2013-02-08,5515.6743
1,6,2013-02-15,6145.488
1,6,2013-02-22,5710.7886
1,6,2013-03-01,4631.834
1,6,2013-03-08,5711.6865
1,6,2013-03-15,6001.1914
1,6,2013-03-22,5935.8145
1,6,2013-03-29,4010.9976
1,6,2013-04-05,5833.6016
1,6,2013-04-12,5525.544
1,6,2013-04-19,5435.581
1,6,2013-04-26,5468.5825
1,6,2013-05-03,8597.134
1,6,2013-05-10,7453.528
1,6,2013-05-17,8244.452
1,6,2013-05-24,9684.079
1,6,2013-05-31,6584.2856
1,6,2013-06-07,7697.774
1,6,2013-06-14,8534.8125
1,6,2013-06-21,8505.32
1,6,2013-06-28,6156.143
1,6,2013-07-05,9307.336
1,6,2013-07-12,7949.02
1,6,2013-07-19,7175.7646
1,6,2013-07-26,7788.0435
1,7,2012-11-02,21570.56
1,7,2012-11-09,27509.71
1,7,2012-11-16,27974.12
1,7,2012-11-23,75882.3
1,7,2012-11-30,64808.277
1,7,2012-12-07,51110.85
1,7,2012-12-14,70106.62
1,7,2012-12-21,100450.77
1,7,2012-12-28,40620.797
1,7,2013-01-04,16427.594
1,7,2013-01-11,17869.924
1,7,2013-01-18,16600.049
1,7,2013-01-25,17234.578
1,7,2013-02-01,22285.922
1,7,2013-02-08,22202.305
1,7,2013-02-15,21973.82
1,7,2013-02-22,21879.412
1,7,2013-03-01,21570.53
1,7,2013-03-08,22270.295
1,7,2013-03-15,22896.65
1,7,2013-03-22,23171.568
1,7,2013-03-29,22120.598
1,7,2013-04-05,24053.977
1,7,2013-04-12,22689.148
1,7,2013-04-19,22599.184
1,7,2013-04-26,22632.188
1,7,2013-05-03,26929.912
1,7,2013-05-10,27798.256
1,7,2013-05-17,27056.94
1,7,2013-05-24,29850.21
1,7,2013-05-31,27089.48
1,7,2013-06-07,30123.822
1,7,2013-06-14,28700.943
1,7,2013-06-21,28671.451
1,7,2013-06-28,29094.146
1,7,2013-07-05,30592.83
1,7,2013-07-12,26332.506
1,7,2013-07-19,26535.604
1,7,2013-07-26,24556.627
1,8,2012-11-02,31723.873
1,8,2012-11-09,31810.15
1,8,2012-11-16,31944.545
1,8,2012-11-23,37986.17
1,8,2012-11-30,40205.1
1,8,2012-12-07,33532.81
1,8,2012-12-14,36495.055
1,8,2012-12-21,40441.758
1,8,2012-12-28,31766.148
1,8,2013-01-04,35535.65
1,8,2013-01-11,35496.14
1,8,2013-01-18,34545.4
1,8,2013-01-25,34403.035
1,8,2013-02-01,34296.71
1,8,2013-02-08,34519.344
1,8,2013-02-15,34174.227
1,8,2013-02-22,34079.82
1,8,2013-03-01,34072.5
1,8,2013-03-08,33952.21
1,8,2013-03-15,32697.852
1,8,2013-03-22,33760.367
1,8,2013-03-29,34361.7
1,8,2013-04-05,34678.63
1,8,2013-04-12,32490.342
1,8,2013-04-19,32660.828
1,8,2013-04-26,32585.855
1,8,2013-05-03,34171.97
1,8,2013-05-10,35040.316
1,8,2013-05-17,34298.996
1,8,2013-05-24,37100.914
1,8,2013-05-31,35840.008
1,8,2013-06-07,37377.734
1,8,2013-06-14,35951.65
1,8,2013-06-21,35922.16
1,8,2013-06-28,36692.168
1,8,2013-07-05,37846.742
1,8,2013-07-12,34809.816
1,8,2013-07-19,34906.504
1,8,2013-07-26,33512.824
1,9,2012-11-02,26278.807
1,9,2012-11-09,27093.514
1,9,2012-11-16,26148.213
1,9,2012-11-23,30336.053
1,9,2012-11-30,32570.422
1,9,2012-12-07,26980.52
1,9,2012-12-14,28986.572
1,9,2012-12-21,35426.676
1,9,2012-12-28,25495.436
1,9,2013-01-04,19899.117
1,9,2013-01-11,22416.63
1,9,2013-01-18,20351.07
1,9,2013-01-25,21231.604
1,9,2013-02-01,26222.367
1,9,2013-02-08,26760.346
1,9,2013-02-15,26158.146
1,9,2013-02-22,26063.736
1,9,2013-03-01,25998.156
1,9,2013-03-08,25877.873
1,9,2013-03-15,27123.246
1,9,2013-03-22,28412.67
1,9,2013-03-29,31086.852
1,9,2013-04-05,28708.594
1,9,2013-04-12,26906.518
1,9,2013-04-19,27313.14
1,9,2013-04-26,27238.168
1,9,2013-05-03,33008.34
1,9,2013-05-10,33626.523
1,9,2013-05-17,32855.023
1,9,2013-05-24,35949.7
1,9,2013-05-31,35403.133
1,9,2013-06-07,36006.527
1,9,2013-06-14,34800.426
1,9,2013-06-21,34770.938
1,9,2013-06-28,35504.79
1,9,2013-07-05,36559.477
1,9,2013-07-12,33548.945
1,9,2013-07-19,33395.47
1,9,2013-07-26,32251.943
1,10,2012-11-02,27357.314
1,10,2012-11-09,28202.125
1,10,2012-11-16,27256.824
1,10,2012-11-23,31332.232
1,10,2012-11-30,32098.473
1,10,2012-12-07,28524.95
1,10,2012-12-14,29982.752
1,10,2012-12-21,35460.766
1,10,2012-12-28,25862.652
1,10,2013-01-04,25977.266
1,10,2013-01-11,26853.867
1,10,2013-01-18,25722.99
1,10,2013-01-25,25932.947
1,10,2013-02-01,28955.18
1,10,2013-02-08,29379.604
1,10,2013-02-15,29155.066
1,10,2013-02-22,28623.838
1,10,2013-03-01,28730.969
1,10,2013-03-08,28497.13
1,10,2013-03-15,28245.916
1,10,2013-03-22,29098.521
1,10,2013-03-29,29083.424
1,10,2013-04-05,29873.371
1,10,2013-04-12,28029.188
1,10,2013-04-19,28435.81
1,10,2013-04-26,28360.838
1,10,2013-05-03,28994.81
1,10,2013-05-10,28795.83
1,10,2013-05-17,28288.436
1,10,2013-05-24,30983.014
1,10,2013-05-31,29712.932
1,10,2013-06-07,30889.291
1,10,2013-06-14,29833.746
1,10,2013-06-21,29804.254
1,10,2013-06-28,29900.521
1,10,2013-07-05,31748.324
1,10,2013-07-12,28602.402
1,10,2013-07-19,28561.355
1,10,2013-07-26,28375.951
1,11,2012-11-02,22909.379
1,11,2012-11-09,23754.19
1,11,2012-11-16,22292.367
1,11,2012-11-23,26884.297
1,11,2012-11-30,26521.852
1,11,2012-12-07,24526.902
1,11,2012-12-14,25534.816
1,11,2012-12-21,31012.82
1,11,2012-12-28,21538.488
1,11,2013-01-04,21529.33
1,11,2013-01-11,22405.932
1,11,2013-01-18,21275.055
1,11,2013-01-25,21363.572
1,11,2013-02-01,24507.244
1,11,2013-02-08,24931.668
1,11,2013-02-15,24707.13
1,11,2013-02-22,23974.89
1,11,2013-03-01,24283.033
1,11,2013-03-08,23801.36
1,11,2013-03-15,23596.969
1,11,2013-03-22,24449.574
1,11,2013-03-29,23184.352
1,11,2013-04-05,25425.436
1,11,2013-04-12,23380.24
1,11,2013-04-19,23786.863
1,11,2013-04-26,23590.451
1,11,2013-05-03,23428.135
1,11,2013-05-10,23111.24
1,11,2013-05-17,22603.846
1,11,2013-05-24,25416.338
1,11,2013-05-31,23017.57
1,11,2013-06-07,25322.615
1,11,2013-06-14,24267.07
1,11,2013-06-21,24237.578
1,11,2013-06-28,24333.846
1,11,2013-07-05,26181.648
1,11,2013-07-12,22890.6
1,11,2013-07-19,22849.553
1,11,2013-07-26,22664.148
1,12,2012-11-02,12068.511
1,12,2012-11-09,13055.104
1,12,2012-11-16,11390.075
1,12,2012-11-23,14024.237
1,12,2012-11-30,13544.138
1,12,2012-12-07,14094.685
1,12,2012-12-14,12265.454
1,12,2012-12-21,16065.548
1,12,2012-12-28,11639.097
1,12,2013-01-04,11319.517
1,12,2013-01-11,12264.847
1,12,2013-01-18,11076.444
1,12,2013-01-25,11425.035
1,12,2013-02-01,14645.335
1,12,2013-02-08,15041.113
1,12,2013-02-15,14840.933
1,12,2013-02-22,14143.383
1,12,2013-03-01,14142.363
1,12,2013-03-08,13489.188
1,12,2013-03-15,13472.193
1,12,2013-03-22,14357.571
1,12,2013-03-29,12948.508
1,12,2013-04-05,15260.415
1,12,2013-04-12,13264.688
1,12,2013-04-19,13214.202
1,12,2013-04-26,13017.788
1,12,2013-05-03,13057.175
1,12,2013-05-10,12828.464
1,12,2013-05-17,12321.07
1,12,2013-05-24,13374.123
1,12,2013-05-31,11727.063
1,12,2013-06-07,13341.83
1,12,2013-06-14,12224.857
1,12,2013-06-21,12195.365
1,12,2013-06-28,12344.412
1,12,2013-07-05,14200.857
1,12,2013-07-12,12427.373
1,12,2013-07-19,12386.326
1,12,2013-07-26,12200.923
1,13,2012-11-02,35102.46
1,13,2012-11-09,33510.773
1,13,2012-11-16,34579.832
1,13,2012-11-23,36519.668
1,13,2012-11-30,37202.312
1,13,2012-12-07,34595.18
1,13,2012-12-14,34435.793
1,13,2012-12-21,37257.49
1,13,2012-12-28,30730.223
1,13,2013-01-04,30942.234
1,13,2013-01-11,30758.145
1,13,2013-01-18,29801.389
1,13,2013-01-25,30609.176
1,13,2013-02-01,33021.426
1,13,2013-02-08,32583.637
1,13,2013-02-15,32768.766
1,13,2013-02-22,32368.926
1,13,2013-03-01,31864.691
1,13,2013-03-08,32407.707
1,13,2013-03-15,32587.871
1,13,2013-03-22,32597.52
1,13,2013-03-29,32775.85
1,13,2013-04-05,33507.168
1,13,2013-04-12,32380.37
1,13,2013-04-19,32329.88
1,13,2013-04-26,32297.486
1,13,2013-05-03,33814.688
1,13,2013-05-10,32997.934
1,13,2013-05-17,32890.25
1,13,2013-05-24,34170.1
1,13,2013-05-31,34057.992
1,13,2013-06-07,34422.883
1,13,2013-06-14,33160.176
1,13,2013-06-21,33130.688
1,13,2013-06-28,32992.258
1,13,2013-07-05,35281.918
1,13,2013-07-12,32806.105
1,13,2013-07-19,32765.055
1,13,2013-07-26,32579.648
1,14,2012-11-02,17190.95
1,14,2012-11-09,17902.28
1,14,2012-11-16,18479.148
1,14,2012-11-23,31644.889
1,14,2012-11-30,30517.473
1,14,2012-12-07,23763.207
1,14,2012-12-14,26671.492
1,14,2012-12-21,40418.027
1,14,2012-12-28,22789.973
1,14,2013-01-04,16371.428
1,14,2013-01-11,17238.014
1,14,2013-01-18,16670.262
1,14,2013-01-25,16013.966
1,14,2013-02-01,19774.902
1,14,2013-02-08,20438.229
1,14,2013-02-15,20161.406
1,14,2013-02-22,19761.564
1,14,2013-03-01,19719.283
1,14,2013-03-08,19161.195
1,14,2013-03-15,18074.918
1,14,2013-03-22,19185.67
1,14,2013-03-29,19635.297
1,14,2013-04-05,20459.848
1,14,2013-04-12,17900.137
1,14,2013-04-19,17849.648
1,14,2013-04-26,17817.254
1,14,2013-05-03,20492.373
1,14,2013-05-10,20509.928
1,14,2013-05-17,19236.123
1,14,2013-05-24,19836.139
1,14,2013-05-31,19258.43
1,14,2013-06-07,20420.736
1,14,2013-06-14,18826.217
1,14,2013-06-21,18796.725
1,14,2013-06-28,19084.701
1,14,2013-07-05,21279.77
1,14,2013-07-12,18607.645
1,14,2013-07-19,17883.793
1,14,2013-07-26,17698.389
1,16,2012-11-02,15122.623
1,16,2012-11-09,16598.31
1,16,2012-11-16,14015.12
1,16,2012-11-23,16143.012
1,16,2012-11-30,15392.623
1,16,2012-12-07,14947.957
1,16,2012-12-14,15212.799
1,16,2012-12-21,17534.824
1,16,2012-12-28,13177.73
1,16,2013-01-04,15765.646
1,16,2013-01-11,17790.639
1,16,2013-01-18,14753.818
1,16,2013-01-25,19621.23
1,16,2013-02-01,21851.059
1,16,2013-02-08,20326.648
1,16,2013-02-15,22631.182
1,16,2013-02-22,23508.145
1,16,2013-03-01,23067.416
1,16,2013-03-08,22652.85
1,16,2013-03-15,26606.28
1,16,2013-03-22,26851.277
1,16,2013-03-29,29195.717
1,16,2013-04-05,29695.334
1,16,2013-04-12,28539.006
1,16,2013-04-19,28735.844
1,16,2013-04-26,28703.45
1,16,2013-05-03,29325.186
1,16,2013-05-10,28216.434
1,16,2013-05-17,27323.51
1,16,2013-05-24,33515.836
1,16,2013-05-31,31981.96
1,16,2013-06-07,35397.043
1,16,2013-06-14,31134.217
1,16,2013-06-21,30434.57
1,16,2013-06-28,31394.281
1,16,2013-07-05,32945.195
1,16,2013-07-12,25078.352
1,16,2013-07-19,24232.49
1,16,2013-07-26,23140.414
1,17,2012-11-02,8044.5015
1,17,2012-11-09,8629.05
1,17,2012-11-16,8823.507
1,17,2012-11-23,14141.361
1,17,2012-11-30,14213.317
1,17,2012-12-07,11362.415
1,17,2012-12-14,13211.145
1,17,2012-12-21,18767.438
1,17,2012-12-28,9746.601
1,17,2013-01-04,7197.2773
1,17,2013-01-11,7265.94
1,17,2013-01-18,7055.8506
1,17,2013-01-25,6663.9536
1,17,2013-02-01,8976.797
1,17,2013-02-08,10006.4
1,17,2013-02-15,10176.57
1,17,2013-02-22,9481.32
1,17,2013-03-01,9299.726
1,17,2013-03-08,8427.529
1,17,2013-03-15,8491.907
1,17,2013-03-22,9294.677
1,17,2013-03-29,8953.854
1,17,2013-04-05,9966.715
1,17,2013-04-12,8433.665
1,17,2013-04-19,8294.6875
1,17,2013-04-26,8262.29
1,17,2013-05-03,11784.793
1,17,2013-05-10,12092.164
1,17,2013-05-17,11881.931
1,17,2013-05-24,11995.11
1,17,2013-05-31,10993.638
1,17,2013-06-07,11898.264
1,17,2013-06-14,11178.125
1,17,2013-06-21,11262.759
1,17,2013-06-28,10941.021
1,17,2013-07-05,12554.065
1,17,2013-07-12,11375.451
1,17,2013-07-19,11334.404
1,17,2013-07-26,11149.001
1,18,2012-11-02,16638.62
1,18,2012-11-09,10794.037
1,18,2012-11-16,10615.341
1,18,2012-11-23,26641.78
1,18,2012-11-30,26505.896
1,18,2012-12-07,45876.99
1,18,2012-12-14,28864.256
1,18,2012-12-21,29193.666
1,18,2012-12-28,20222.697
1,18,2013-01-04,2903.2905
1,18,2013-01-11,2712.3523
1,18,2013-01-18,2647.66
1,18,2013-01-25,1460.9747
1,18,2013-02-01,4245.362
1,18,2013-02-08,5314.3594
1,18,2013-02-15,5084.365
1,18,2013-02-22,3931.2285
1,18,2013-03-01,4430.499
1,18,2013-03-08,3927.3735
1,18,2013-03-15,3022.2646
1,18,2013-03-22,3495.358
1,18,2013-03-29,3597.1267
1,18,2013-04-05,5238.609
1,18,2013-04-12,2964.0217
1,18,2013-04-19,2825.045
1,18,2013-04-26,2792.6482
1,18,2013-05-03,4069.5295
1,18,2013-05-10,4706.3887
1,18,2013-05-17,4502.6123
1,18,2013-05-24,4429.0054
1,18,2013-06-07,3425.3628
1,18,2013-07-05,4815.389
1,19,2012-11-02,2511.0544
1,19,2012-11-09,2948.8608
1,19,2012-11-16,1364.3406
1,19,2012-11-23,3603.4587
1,19,2012-11-30,3139.6094
1,19,2012-12-07,1304.3817
1,19,2012-12-14,2776.7273
1,19,2012-12-21,7625.1367
1,19,2012-12-28,280.34036
1,19,2013-01-04,1407.5304
1,19,2013-01-11,496.03738
1,19,2013-01-18,1151.9003
1,19,2013-01-25,33.280437
1,19,2013-02-01,1292.771
1,19,2013-02-08,1901.9087
1,19,2013-02-15,2392.4692
1,19,2013-02-22,1475.5536
1,19,2013-03-01,1254.2723
1,19,2013-03-08,1211.0048
1,19,2013-03-15,1026.4517
1,19,2013-03-22,1039.6842
1,19,2013-03-29,992.1916
1,19,2013-04-05,1607.3494
1,19,2013-04-12,818.9466
1,19,2013-04-19,679.9694
1,19,2013-04-26,647.5726
1,19,2013-05-03,1884.3008
1,19,2013-05-10,2521.1597
1,19,2013-05-17,2317.3833
1,19,2013-05-24,1799.0719
1,19,2013-05-31,1878.9376
1,19,2013-06-07,2214.7598
1,19,2013-06-14,1501.0778
1,19,2013-06-21,1585.7117
1,19,2013-06-28,1457.3392
1,19,2013-07-05,2823.2832
1,19,2013-07-12,1848.5258
1,19,2013-07-19,1807.4781
1,19,2013-07-26,1622.0741
1,20,2012-11-02,4461.798
1,20,2012-11-09,5209.592
1,20,2012-11-16,4792.3867
1,20,2012-11-23,8176.6284
1,20,2012-11-30,7421.245
1,20,2012-12-07,4950.831
1,20,2012-12-14,7130.2227
1,20,2012-12-21,11978.63
1,20,2012-12-28,4170.496
1,20,2013-01-04,3633.1455
1,20,2013-01-11,3708.308
1,20,2013-01-18,3507.922
1,20,2013-01-25,3421.9153
1,20,2013-02-01,5054.7017
1,20,2013-02-08,5567.819
1,20,2013-02-15,5854.8755
1,20,2013-02-22,5381.02
1,20,2013-03-01,5060.3994
1,20,2013-03-08,4611.124
1,20,2013-03-15,4871.3906
1,20,2013-03-22,5072.2764
1,20,2013-03-29,4775.3203
1,20,2013-04-05,5195.121
1,20,2013-04-12,4541.5493
1,20,2013-04-19,4402.5728
1,20,2013-04-26,4370.1763
1,20,2013-05-03,5990.6973
1,20,2013-05-10,6241.443
1,20,2013-05-17,6125.3726
1,20,2013-05-24,6865.9385
1,20,2013-05-31,5837.907
1,20,2013-06-07,6793.794
1,20,2013-06-14,6167.8184
1,20,2013-06-21,6252.452
1,20,2013-06-28,6124.08
1,20,2013-07-05,7402.3174
1,20,2013-07-12,5997.541
1,20,2013-07-19,5956.493
1,20,2013-07-26,5771.089
1,21,2012-11-02,5487.037
1,21,2012-11-09,6102.3423
1,21,2012-11-16,5685.137
1,21,2012-11-23,9565.138
1,21,2012-11-30,8809.751
1,21,2012-12-07,6613.2573
1,21,2012-12-14,8518.727
1,21,2012-12-21,12974.296
1,21,2012-12-28,5060.787
1,21,2013-01-04,4104.309
1,21,2013-01-11,4284.846
1,21,2013-01-18,3979.0854
1,21,2013-01-25,3998.454
1,21,2013-02-01,5746.023
1,21,2013-02-08,6259.14
1,21,2013-02-15,6546.197
1,21,2013-02-22,6072.3413
1,21,2013-03-01,5646.3467
1,21,2013-03-08,5302.4453
1,21,2013-03-15,5562.712
1,21,2013-03-22,5763.5977
1,21,2013-03-29,5466.6416
1,21,2013-04-05,5886.4424
1,21,2013-04-12,5232.8706
1,21,2013-04-19,5093.894
1,21,2013-04-26,5061.4976
1,21,2013-05-03,5990.6973
1,21,2013-05-10,6241.443
1,21,2013-05-17,6125.3726
1,21,2013-05-24,6713.2896
1,21,2013-05-31,5685.2583
1,21,2013-06-07,6641.145
1,21,2013-06-14,6015.1694
1,21,2013-06-21,6099.803
1,21,2013-06-28,5971.431
1,21,2013-07-05,7249.6685
1,21,2013-07-12,5997.541
1,21,2013-07-19,5956.493
1,21,2013-07-26,5771.089
1,22,2012-11-02,8625.933
1,22,2012-11-09,9510.171
1,22,2012-11-16,9042.889
1,22,2012-11-23,14804.914
1,22,2012-11-30,14354.276
1,22,2012-12-07,12143.506
1,22,2012-12-14,13380.822
1,22,2012-12-21,19526.17
1,22,2012-12-28,10092.938
1,22,2013-01-04,7167.064
1,22,2013-01-11,7347.5996
1,22,2013-01-18,7041.841
1,22,2013-01-25,7061.208
1,22,2013-02-01,8924.546
1,22,2013-02-08,9706.599
1,22,2013-02-15,9993.657
1,22,2013-02-22,9519.801
1,22,2013-03-01,8824.869
1,22,2013-03-08,8480.969
1,22,2013-03-15,8741.237
1,22,2013-03-22,9467.746
1,22,2013-03-29,8607.051
1,22,2013-04-05,8922.51
1,22,2013-04-12,8268.94
1,22,2013-04-19,8129.965
1,22,2013-04-26,8097.5674
1,22,2013-05-03,10611.644
1,22,2013-05-10,10862.389
1,22,2013-05-17,10746.319
1,22,2013-05-24,12192.923
1,22,2013-05-31,10410.545
1,22,2013-06-07,11262.09
1,22,2013-06-14,10905.05
1,22,2013-06-21,10989.684
1,22,2013-06-28,10696.717
1,22,2013-07-05,11870.613
1,22,2013-07-12,10721.313
1,22,2013-07-19,10680.267
1,22,2013-07-26,10494.863
1,23,2012-11-02,19327.102
1,23,2012-11-09,20500.412
1,23,2012-11-16,20033.133
1,23,2012-11-23,28352.432
1,23,2012-11-30,28307.627
1,23,2012-12-07,27734.77
1,23,2012-12-14,27388.598
1,23,2012-12-21,34155.03
1,23,2012-12-28,22064.953
1,23,2013-01-04,16318.6045
1,23,2013-01-11,17827.73
1,23,2013-01-18,16260.156
1,23,2013-01-25,17625.338
1,23,2013-02-01,21122.984
1,23,2013-02-08,21431.637
1,23,2013-02-15,20756.938
1,23,2013-02-22,20231.223
1,23,2013-03-01,20350.357
1,23,2013-03-08,20073.23
1,23,2013-03-15,20417.494
1,23,2013-03-22,22029.893
1,23,2013-03-29,20610.191
1,23,2013-04-05,20793.701
1,23,2013-04-12,20209.992
1,23,2013-04-19,20071.012
1,23,2013-04-26,20038.617
1,23,2013-05-03,22055.795
1,23,2013-05-10,21833.14
1,23,2013-05-17,21801.066
1,23,2013-05-24,24751.361
1,23,2013-05-31,23375.275
1,23,2013-06-07,22935.633
1,23,2013-06-14,24004.123
1,23,2013-06-21,24197.562
1,23,2013-06-28,23149.16
1,23,2013-07-05,24705.428
1,23,2013-07-12,22171.057
1,23,2013-07-19,22130.01
1,23,2013-07-26,21944.605
1,24,2012-11-02,6537.905
1,24,2012-11-09,7233.052
1,24,2012-11-16,7002.88
1,24,2012-11-23,10333.137
1,24,2012-11-30,9925.282
1,24,2012-12-07,8033.8535
1,24,2012-12-14,9350.375
1,24,2012-12-21,13725.643
1,24,2012-12-28,6280.6665
1,24,2013-01-04,4412.767
1,24,2013-01-11,4678.4272
1,24,2013-01-18,4354.3193
1,24,2013-01-25,4588.839
1,24,2013-02-01,6190.89
